Phrase,Word Count,Character Count,Phrase Without Spaces,Consonants,Consonants Count,Vowels Count
You have to separate the wheat from the chaf,9,44,youhavetoseparatethewheatfromthechaf,yhvtsprtthwhtfrmthchf,21,23
A nod is as good as a wink to a blind horse,12,43,anodisasgoodasawinktoablindhorse,ndssgdswnktblndhrs,18,25
Do not cross the bridge till you come to it,10,43,donotcrossthebridgetillyoucometoit,dntcrssthbrdgtllycmtt,21,22
Do not cut off your nose to spite your face,10,43,donotcutoffyournosetospiteyourface,dntctffyrnstsptyrfc,19,24
A prophet is not recognized in his own land,9,43,aprophetisnotrecognizedinhisownland,prphtsntrcgnzdnhswnlnd,22,21
One who believes in Sword dies by the Sword,9,43,onewhobelievesinsworddiesbythesword,nwhblvsnswrddsbythswrd,22,21
You pay your money and you take your choice,9,43,youpayyourmoneyandyoutakeyourchoice,ypyyrmnyndytkyrchc,18,25
Music has charms to soothe the savage beast,8,43,musichascharmstosoothethesavagebeast,mschschrmstsththsvgbst,22,21
Imitation is the sincerest form of flattery,7,43,imitationisthesincerestformofflattery,mttnsthsncrstfrmfflttry,23,20
A house divided against itself cannot stand,5,43,a house dividedagainstitselfcannotstand, hs dvddgnsttslfcnntstnd,24,19
All work and no play makes Jack a dull boy,10,42,allworkandnoplaymakesjackadullboy,llwrkndnplymksjckdllby,22,20
Eat drink and be merry for tomorrow we die,9,42,eatdrinkandbemerryfortomorrowwedie,tdrnkndbmrryfrtmrrwwd,21,21
Do not teach your Grandmother to suck eggs,8,42,donotteachyourgrandmothertosuckeggs,dnttchyrgrndmthrtsckggs,23,19
Walnuts and pears you plant for your heirs,8,42,walnutsandpearsyouplantforyourheirs,wlntsndprsyplntfryrhrs,22,20
Fish always stinks from the head downwards,7,42,fishalwaysstinksfromtheheaddownwards,fshlwysstnksfrmthhddwnwrds,26,16
A man who is his own lawyer has a fool for his client,13,41,amanwhoishisownlawyerhasafoolforhisclient,mnwhshswnlwyrhsflfrhsclnt,25,16
A person is known by the company he keeps,9,41,apersonisknownbythecompanyhekeeps,prsnsknwnbythcmpnyhkps,22,19
The proof of the pudding is in the eating,9,41,theproofofthepuddingisintheeating,thprffthpddngsnthtng,20,21
He that goes a-borrowing goes a-sorrowing,6,41,hethatgoesa-borrowinggoesa-sorrowing,hthtgs-brrwnggs-srrwng,22,19
Give him an inch and he will take a mile,10,40,givehimaninchandhewilltakeamile,gvhmnnchndhwlltkml,18,22
There is more than one way to skin a cat,10,40,thereismorethanonewaytoskinacat,thrsmrthnnwytsknct,18,22
A little of what you fancy does you good,9,40,alittleofwhatyoufancydoesyougood,lttlfwhtyfncydsygd,18,22
You cannot have your cake and eat it too,9,40,youcannothaveyourcakeandeatittoo,ycnnthvyrckndttt,16,24
Fools rush in where angels fear to tread,8,40,foolsrushinwhereangelsfeartotread,flsrshnwhrnglsfrttrd,20,20
The bigger they are the harder they fall,8,40,thebiggertheyarethehardertheyfall,thbggrthyrthhrdrthyfll,22,18
The darkest hour is just before the dawn,8,40,thedarkesthourisjustbeforethedawn,thdrksthrsjstbfrthdwn,21,19
If wishes were horses beggars would ride,7,40,ifwisheswerehorsesbeggarswouldride,fwshswrhrssbggrswldrd,21,19
The cobbler always wears the worst shoes,7,40,thecobbleralwayswearstheworstshoes,thcbblrlwyswrsthwrstshs,23,17
Check yourself before you wreck yourself,6,40,checkyourselfbeforeyouwreckyourself,chckyrslfbfrywrckyrslf,22,18
Laugh before breakfast cry before supper,6,40,laughbeforebreakfastcrybeforesupper,lghbfrbrkfstcrybfrsppr,22,18
Do not try to walk before you can crawl,9,39,donottrytowalkbeforeyoucancrawl,dnttrytwlkbfrycncrwl,20,19
It is the early bird that gets the worm,9,39,itistheearlybirdthatgetstheworm,tsthrlybrdthtgtsthwrm,21,18
Never let the sun go down on your anger,9,39,neverletthesungodownonyouranger,nvrltthsngdwnnyrngr,19,20
When the cat is away the mice will play,9,39,whenthecatisawaythemicewillplay,whnthctswythmcwllply,20,19
Into every life a little rain must fall,8,39,intoeverylifealittlerainmustfall,ntvrylflttlrnmstfll,19,20
The apple never falls far from the tree,8,39,theappleneverfallsfarfromthetree,thpplnvrfllsfrfrmthtr,21,18
There is no such thing as bad publicity,8,39,thereisnosuchthingasbadpublicity,thrsnschthngsbdpblcty,21,18
A volunteer is worth twenty pressed men,7,39,avolunteerisworthtwentypressedmen,vlntrswrthtwntyprssdmn,22,17
Discretion is the better part of valour,7,39,discretionisthebetterpartofvalour,dscrtnsthbttrprtfvlr,20,19
Live for today for tomorrow never comes,7,39,livefortodayfortomorrownevercomes,lvfrtdyfrtmrrwnvrcms,20,19
With a responsibility comes great power,6,39,witharesponsibilitycomesgreatpower,wthrspnsbltycmsgrtpwr,21,18
A little knowledge is a dangerous thing,5,39,alittle knowledge isadangerousthing,lttl knwldg sdngrsthng,22,17
Do not put all your eggs in one basket,9,38,donotputallyoureggsinonebasket,dntptllyrggsnnbskt,18,20
See no evil hear no evil speak no evil,9,38,seenoevilhearnoevilspeaknoevil,snvlhrnvlspknvl,15,23
There is no such thing as a free lunch,9,38,thereisnosuchthingasafreelunch,thrsnschthngsfrlnch,19,19
There is no such thing as a free lunch,9,38,thereisnosuchthingasafreelunch,thrsnschthngsfrlnch,19,19
Do not let the bastards grind you down,8,38,donotletthebastardsgrindyoudown,dntltthbstrdsgrndydwn,21,17
Do not wash your dirty linen in public,8,38,donotwashyourdirtylineninpublic,dntwshyrdrtylnnnpblc,20,18
The husband is always the last to know,8,38,thehusbandisalwaysthelasttoknow,thhsbndslwysthlsttknw,21,17
You cannot teach an old dog new tricks,8,38,youcannotteachanolddognewtricks,ycnnttchnlddgnwtrcks,20,18
A poor workman always blames his tools,7,38,apoorworkmanalwaysblameshistools,prwrkmnlwysblmshstls,20,18
Fish and guests smell after three days,7,38,fishandguestssmellafterthreedays,fshndgstssmllftrthrdys,22,16
If life deals you lemons make lemonade,7,38,iflifedealsyoulemonsmakelemonade,flfdlsylmnsmklmnd,17,21
Nothing is certain but death and taxes,7,38,nothingiscertainbutdeathandtaxes,nthngscrtnbtdthndtxs,20,18
First impressions are the most lasting,6,38,firstimpressionsarethemostlasting,frstmprssnsrthmstlstng,22,16
Do not look a gift horse in the mouth,9,37,donotlookagifthorseinthemouth,dntlkgfthrsnthmth,17,20
Do not make a mountain of a mole hill,9,37,donotmakeamountainofamolehill,dntmkmntnfmlhll,15,22
It is easy to be wise after the event,9,37,itiseasytobewiseaftertheevent,tssytbwsftrthvnt,16,21
Let not the sun go down on your wrath,9,37,letnotthesungodownonyourwrath,ltntthsngdwnnyrwrth,19,18
You can have too much of a good thing,9,37,youcanhavetoomuchofagoodthing,ycnhvtmchfgdthng,16,21
There are always more fish in the sea,8,37,therearealwaysmorefishinthesea,thrrlwysmrfshnths,17,20
Children should be seen and not heard,7,37,childrenshouldbeseenandnotheard,chldrnshldbsnndnthrd,20,17
Cut your coat according to your cloth,7,37,cutyourcoataccordingtoyourcloth,ctyrctccrdngtyrclth,19,18
Money earned by deceit goes by deceit,7,37,moneyearnedbydeceitgoesbydeceit,mnyrndbydctgsbydct,18,19
The leopard does not change his spots,7,37,theleoparddoesnotchangehisspots,thlprddsntchnghsspts,20,17
There are two sides to every question,7,37,therearetwosidestoeveryquestion,thrrtwsdstvryqstn,17,20
April showers bring forth May flowers,6,37,aprilshowersbringforthmayflowers,prlshwrsbrngfrthmyflwrs,23,14
A drowning man will clutch at a straw,5,37,a drowning manwillclutchata straw, drwnng mnwllcltcht strw,24,13
In the midst of life we are in death,9,36,inthemidstoflifeweareindeath,nthmdstflfwrndth,16,20
Where there is a will there is a way,9,36,wherethereisawillthereisaway,whrthrswllthrswy,16,20
All good things come to he who waits,8,36,allgoodthingscometohewhowaits,llgdthngscmthwhwts,18,18
An apple a day keeps the doctor away,8,36,anappleadaykeepsthedoctoraway,nppldykpsthdctrwy,17,19
Beauty is in the eye of the beholder,8,36,beautyisintheeyeofthebeholder,btysnthyfthbhldr,16,20
Do not put the cart before the horse,8,36,donotputthecartbeforethehorse,dntptthcrtbfrthhrs,18,18
Do not put new wine into old bottles,8,36,donotputnewwineintooldbottles,dntptnwwnntldbttls,18,18
He who pays the piper calls the tune,8,36,hewhopaysthepipercallsthetune,hwhpysthpprcllsthtn,19,17
It is better to give than to receive,8,36,itisbettertogivethantoreceive,tsbttrtgvthntrcv,16,20
Never look a gift horse in the mouth,8,36,neverlookagifthorseinthemouth,nvrlkgfthrsnthmth,17,19
You cannot judge a book by its cover,8,36,youcannotjudgeabookbyitscover,ycnntjdgbkbytscvr,17,19
A good beginning makes a good ending,7,36,agoodbeginningmakesagoodending,gdbgnnngmksgdndng,17,19
A problem shared is a problem halved,7,36,aproblemsharedisaproblemhalved,prblmshrdsprblmhlvd,19,17
A trouble shared is a trouble halved,7,36,atroublesharedisatroublehalved,trblshrdstrblhlvd,17,19
Do not cast your pearls before swine,7,36,donotcastyourpearlsbeforeswine,dntcstyrprlsbfrswn,18,18
What cannot be cured must be endured,7,36,whatcannotbecuredmustbeendured,whtcnntbcrdmstbndrd,19,17
Necessity is the mother of invention,6,36,necessityisthemotherofinvention,ncsstysthmthrfnvntn,19,17
Possession is nine tenths of the law,7,36,possessionisninetenthsofthelaw,pssssnsnntnthsfthlw,19,17
Procrastination is the thief of time,6,36,procrastinationisthethiefoftime,prcrstntnsththfftm,18,18
You cannot make bricks without straw,6,36,youcannotmakebrickswithoutstraw,ycnntmkbrckswthtstrw,20,16
All good things must come to an end,8,35,allgoodthingsmustcometoanend,llgdthngsmstcmtnnd,18,17
All is grist that comes to the mill,8,35,allisgristthatcomestothemill,llsgrstthtcmstthmll,19,16
Do not bite the hand that feeds you,8,35,donotbitethehandthatfeedsyou,dntbtthhndthtfdsy,17,18
Do not keep a dog and bark yourself,8,35,donotkeepadogandbarkyourself,dntkpdgndbrkyrslf,17,18
Half a loaf is better than no bread,8,35,halfaloafisbetterthannobread,hlflfsbttrthnnbrd,17,18
It is no use crying over spilt milk,8,35,itisnousecryingoverspiltmilk,tsnscryngvrspltmlk,18,17
Never cast a clout until May be out,8,35,nevercastacloutuntilmaybeout,nvrcstcltntlmybt,16,19
Two is company but three is a crowd,8,35,twoiscompanybutthreeisacrowd,twscmpnybtthrscrwd,18,17
You cannot get blood out of a stone,8,35,youcannotgetbloodoutofastone,ycnntgtbldtfstn,15,20
A picture is worth a thousand words,7,35,apictureisworthathousandwords,pctrswrththsndwrds,18,17
Do not burn your bridges behind you,7,35,donotburnyourbridgesbehindyou,dntbrnyrbrdgsbhndy,18,17
Failing to plan is planning to fail,7,35,failingtoplanisplanningtofail,flngtplnsplnnngtfl,18,17
Hard work never did anyone any harm,7,35,hardworkneverdidanyoneanyharm,hrdwrknvrddnynnyhrm,19,16
There is an exception to every rule,7,35,thereisanexceptiontoeveryrule,thrsnxcptntvryrl,16,19
Absence makes the heart grow fonder,6,35,absencemakestheheartgrowfonder,bsncmksthhrtgrwfndr,19,16
Mighty oaks from little acorns grow,6,35,mightyoaksfromlittleacornsgrow,mghtyksfrmlttlcrnsgrw,21,14
The exception which proves the rule,6,35,theexceptionwhichprovestherule,thxcptnwhchprvsthrl,19,16
The squeaking wheel gets the grease,6,35,thesqueakingwheelgetsthegrease,thsqkngwhlgtsthgrs,18,17
Give a dog a bad name and hang him,9,34,giveadogabadnameandhanghim,gvdgbdnmndhnghm,15,19
It takes all sorts to make a world,8,34,ittakesallsortstomakeaworld,ttksllsrtstmkwrld,17,17
Many a true word is spoken in jest,8,34,manyatruewordisspokeninjest,mnytrwrdsspknnjst,17,17
The child is the father of the man,8,34,thechildisthefatheroftheman,thchldsthfthrfthmn,18,16
Attack is the best form of defense,7,34,attackisthebestformofdefense,ttcksthbstfrmfdfns,18,16
Good things come to those who wait,7,34,goodthingscometothosewhowait,gdthngscmtthswhwt,17,17
If you pay peanuts you get monkeys,7,34,ifyoupaypeanutsyougetmonkeys,fypypntsygtmnkys,16,18
Memory is the treasure of the mind,7,34,memoryisthetreasureofthemind,mmrysthtrsrfthmnd,17,17
One swallow does not make a summer,7,34,oneswallowdoesnotmakeasummer,nswllwdsntmksmmr,16,18
Put your money where your mouth is,7,34,putyourmoneywhereyourmouthis,ptyrmnywhryrmths,16,18
Revenge is a dish best served cold,7,34,revengeisadishbestservedcold,rvngsdshbstsrvdcld,18,16
Speak softly and carry a big stick,7,34,speaksoftlyandcarryabigstick,spksftlyndcrrybgstck,20,14
The best defence is a good offence,7,34,thebestdefenceisagoodoffence,thbstdfncsgdffnc,16,18
The labourer is worthy of his hire,7,34,thelabourerisworthyofhishire,thlbrrswrthyfhshr,17,17
The pen is mightier than the sword,7,34,thepenismightierthanthesword,thpnsmghtrthnthswrd,19,15
Where there is muck there is brass,7,34,wherethereismuckthereisbrass,whrthrsmckthrsbrss,18,16
Everything comes to those who wait,6,34,everythingcomestothosewhowait,vrythngcmstthswhwt,18,16
Worrying never did anyone any good,6,34,worryingneverdidanyoneanygood,wrryngnvrddnynnygd,18,16
Absolute power corrupts absolutely,4,34,absolutepowercorruptsabsolutely,bsltpwrcrrptsbsltly,19,15
Adversity makes strange bedfellows,4,34,adversitymakesstrangebedfellows,dvrstymksstrngbdfllws,21,13
It is best to be on the safe side,9,33,itisbesttobeonthesafeside,tsbsttbnthsfsd,14,19
It takes a thief to catch a thief,8,33,ittakesathieftocatchathief,ttksthftctchthf,15,18
There is no fool like an old fool,8,33,thereisnofoollikeanoldfool,thrsnfllknldfl,14,19
All things come to those who wait,7,33,allthingscometothosewhowait,llthngscmtthswhwt,17,16
Ask no questions and hear no lies,7,33,asknoquestionsandhearnolies,sknqstnsndhrnls,15,18
If you cannot beat them join them,7,33,ifyoucannotbeatthemjointhem,fycnntbtthmjnthm,16,17
Jack of all trades master of none,7,33,jackofalltradesmasterofnone,jckflltrdsmstrfnn,17,16
Jack of all trades master of some,7,33,jackofalltradesmasterofsome,jckflltrdsmstrfsm,17,16
Life is not all beer and skittles,7,33,lifeisnotallbeerandskittles,lfsntllbrndskttls,17,16
Never give a sucker an even break,7,33,nevergiveasuckeranevenbreak,nvrgvsckrnvnbrk,15,18
Respect is not given it is earned,7,33,respectisnotgivenitisearned,rspctsntgvntsrnd,16,17
Spare the rod and spoil the child,7,33,sparetherodandspoilthechild,sprthrdndsplthchld,18,15
There is no time like the present,7,33,thereisnotimelikethepresent,thrsntmlkthprsnt,16,17
To err is human to forgive divine,7,33,toerrishumantoforgivedivine,trrshmntfrgvdvn,15,18
While there is life there is hope,7,33,whilethereislifethereishope,whlthrslfthrshp,15,18
Birds of a feather flock together,6,33,birdsofafeatherflocktogether,brdsffthrflcktgthr,18,15
Do not change horses in midstream,6,33,donotchangehorsesinmidstream,dntchnghrssnmdstrm,18,15
Empty vessels make the most noise,6,33,emptyvesselsmakethemostnoise,mptyvsslsmkthmstns,18,15
There is no accounting for tastes,6,33,thereisnoaccountingfortastes,thrsnccntngfrtsts,17,16
Little things please little minds,5,33,littlethingspleaselittleminds,lttlthngsplslttlmnds,20,13
Hindsight is always twenty twenty,5,33,hindsightisalwaystwentytwenty,hndsghtslwystwntytwnty,22,11
When in Rome do as the Romans do,8,32,wheninromedoastheromansdo,whnnrmdsthrmnsd,15,17
Ask my companion if I be a thief,8,32,askmycompanionifibeathief,skmycmpnnfbthf,14,18
Faint heart never won fair lady ,6,32,faintheartneverwonfairlady,fnthrtnvrwnfrldy,16,16
If anything can go wrong it will,7,32,ifanythingcangowrongitwill,fnythngcngwrngtwll,18,14
If you cannot be good be careful,7,32,ifyoucannotbegoodbecareful,fycnntbgdbcrfl,14,18
Jack of all trades master of one,7,32,jackofalltradesmasterofone,jckflltrdsmstrfn,16,16
Man does not live by bread alone,7,32,mandoesnotlivebybreadalone,mndsntlvbybrdln,15,17
The best things in life are free,7,32,thebestthingsinlifearefree,thbstthngsnlfrfr,16,16
The longest day must have an end,7,32,thelongestdaymusthaveanend,thlngstdymsthvnnd,17,15
The moon is made of green cheese,7,32,themoonismadeofgreencheese,thmnsmdfgrnchs,14,18
You must have rocks in your head,7,32,youmusthaverocksinyourhead,ymsthvrcksnyrhd,15,17
A soft answer turneth away wrath,6,32,asoftanswerturnethawaywrath,sftnswrtrnthwywrth,18,14
Knowledge is power guard it well,6,32,knowledgeispowerguarditwell,knwldgspwrgrdtwll,17,15
Let the punishment fit the crime,6,32,letthepunishmentfitthecrime,ltthpnshmntftthcrm,18,14
Marry in haste repent at leisure,6,32,marryinhasterepentatleisure,mrrynhstrpnttlsr,16,16
Cleanliness is next to godliness,5,32,cleanlinessisnexttogodliness,clnlnsssnxttgdlnss,18,14
Good fences make good neighbours,5,32,goodfencesmakegoodneighbours,gdfncsmkgdnghbrs,16,16
A penny saved is a penny earned,7,31,apennysavedisapennyearned,pnnysvdspnnyrnd,15,16
It will come back and haunt you,7,31,itwillcomebackandhauntyou,twllcmbckndhnty,15,16
Judge not that ye be not judged,7,31,judgenotthatyebenotjudged,jdgntthtybntjdgd,16,15
Never judge a book by its cover,7,31,neverjudgeabookbyitscover,nvrjdgbkbytscvr,15,16
A rolling stone gathers no moss,6,31,arollingstonegathersnomoss,rllngstngthrsnmss,17,14
Christmas comes but once a year,6,31,christmascomesbutonceayear,chrstmscmsbtncyr,16,15
